"filename", "language", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Shell Script", "XML", "Markdown", "HTML", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/aduan.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39, 175
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/auth.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 73
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/dusun.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 200
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/pengaduan-masyarakat.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/pengelolaan-pbb.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 98
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/perangkat-desa.ts", "TypeScript", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 51, 261
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/public.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/statistik.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 240
"/home/andika/Projects/college-shits/website-desa/src/worker/routes/surat-pbb.ts", "TypeScript", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40, 273
"/home/andika/Projects/college-shits/website-desa/src/worker/types.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/andika/Projects/college-shits/website-desa/src/worker/utils/db.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/andika/Projects/college-shits/website-desa/src/worker/utils/hash.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/andika/Projects/college-shits/website-desa/src/worker/utils/jwt.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 72
"/home/andika/Projects/college-shits/website-desa/tsconfig.app.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/home/andika/Projects/college-shits/website-desa/tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/andika/Projects/college-shits/website-desa/tsconfig.node.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/home/andika/Projects/college-shits/website-desa/tsconfig.worker.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/andika/Projects/college-shits/website-desa/vite.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/andika/Projects/college-shits/website-desa/worker-configuration.d.ts", "TypeScript", 4992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3900, 2, 8894
"/home/andika/Projects/college-shits/website-desa/wrangler.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 34, 1, 64
"Total", "-", 6554, 7, 92, 5684, 3, 1, 409, 29, 5930, 25, 355, 3980, 1072, 24141
